Episode,Timestep,Window_Avg_Entropy,Success
0,1,0.11054469491765903,1
0,2,0.10252833066317424,1
0,3,0.09204672133485234,1
0,4,0.09834141124796422,1
0,5,0.10140177233089624,1
0,6,0.10655129711469621,1
0,7,0.1200595784667536,1
0,8,0.11088702880828145,1
0,9,0.09718272555362156,1
0,10,0.09111188898090268,1
0,11,0.08899209325760278,1
0,12,0.0924683202208222,1
0,13,0.0949152088356294,1
0,14,0.085138644389276,1
0,15,0.07370952835108746,1
0,16,0.0715019755604158,1
0,17,0.052363807204535734,1
0,18,0.04302011888615455,1
0,19,0.0390029569171819,1
1,1,0.1548697144305857,0
1,2,0.14858781615420238,0
1,3,0.15245332402390582,0
1,4,0.15193788522633384,0
1,5,0.12004354759882671,0
1,6,0.10076327965830709,0
1,7,0.08850577145429202,0
1,8,0.08812768843550406,0
1,9,0.08454514282936168,0
1,10,0.07851022560322682,0
1,11,0.0753511116096569,0
1,12,0.07362486102819077,0
1,13,0.0683093727368383,0
1,14,0.06711195614870223,0
1,15,0.07584353274353957,0
1,16,0.0644706223078905,0
1,17,0.0623385486217644,0
1,18,0.06041076810365266,0
1,19,0.057042807354649616,0
1,20,0.05785114587788796,0
1,21,0.05745092749265964,0
1,22,0.063122760291811,0
1,23,0.05772751733151432,0
1,24,0.0583487107758391,0
1,25,0.06167455858287478,0
1,26,0.060551024279702235,0
1,27,0.05421816647144938,0
1,28,0.05515413448309038,0
1,29,0.057138434870046086,0
1,30,0.04486985480321304,0
1,31,0.04939663779439724,0
1,32,0.048932217022809074,0
1,33,0.04897864291185984,0
1,34,0.0472091613108995,0
1,35,0.04609990101505327,0
1,36,0.042494040911653305,0
1,37,0.0438064228433535,0
2,1,0.1036931090532974,0
2,2,0.11021969503042843,0
2,3,0.12175395203456688,0
2,4,0.10400996342258381,0
2,5,0.11402210645997864,0
2,6,0.1291258332525415,0
2,7,0.11854556093015334,0
2,8,0.10813585167100839,0
2,9,0.10622427871681725,0
2,10,0.09866366705195526,0
2,11,0.08430220100259414,0
2,12,0.08450419700710501,0
2,13,0.0744152740306887,0
2,14,0.07689838811438966,0
2,15,0.08387193633623416,0
2,16,0.0885149673308396,0
2,17,0.08187870639717054,0
2,18,0.0760786307102918,0
2,19,0.08320912750420253,0
2,20,0.06687391688997701,0
2,21,0.06148163448136851,0
2,22,0.06294218457854375,0
2,23,0.059977449630125135,0
2,24,0.06567992530445907,0
2,25,0.07009544517071227,0
2,26,0.07316343971896969,0
2,27,0.07176747140579307,0
2,28,0.08375486272804807,0
2,29,0.08241041484076231,0
2,30,0.08876503423471892,0
2,31,0.09434054374503871,0
2,32,0.09942366483431449,0
2,33,0.10365043518521999,0
2,34,0.10112506772146695,0
2,35,0.0964308386070903,0
2,36,0.0988227121929097,0
2,37,0.1173456476903609,0
3,1,0.10818814891741801,1
3,2,0.13688977834670263,1
3,3,0.14422257966500576,1
3,4,0.1310716262440038,1
3,5,0.11228756740072403,1
3,6,0.13178113181477147,1
3,7,0.10715840612587371,1
3,8,0.10064271155429258,1
3,9,0.09992070876846272,1
3,10,0.09894309456643195,1
3,11,0.07632601513716299,1
3,12,0.07520698150791041,1
3,13,0.0676783545019605,1
3,14,0.07168691361150567,1
3,15,0.07250478611952459,1
3,16,0.0641594395253861,1
3,17,0.055324575232275,1
4,1,0.09240248535295964,0
4,2,0.08086015977057798,0
4,3,0.08680375785144001,0
4,4,0.07481692195562782,0
4,5,0.06773954042374719,0
4,6,0.06841581399233346,0
4,7,0.0740375430557621,0
4,8,0.07089310005154703,0
4,9,0.07352692117526952,0
4,10,0.07315871108082789,0
4,11,0.06103328176622631,0
4,12,0.06071389246845669,0
4,13,0.05140340455631794,0
4,14,0.05044121837764844,0
4,15,0.05793932235617087,0
4,16,0.07395767627042066,0
4,17,0.07012612766009917,0
4,18,0.07066256105889057,0
4,19,0.07035624785852948,0
4,20,0.06315692715178572,0
4,21,0.06315692557680194,0
4,22,0.06778089208683293,0
4,23,0.07601975901967947,0
4,24,0.09011813202906985,0
4,25,0.10188311140955722,0
4,26,0.08806727234138989,0
4,27,0.087385527154577,0
4,28,0.08735660174025138,0
4,29,0.08378353256487676,0
4,30,0.07983065108679,0
4,31,0.09969094412893487,0
4,32,0.09432093152361079,0
4,33,0.09076209822544509,0
4,34,0.08973026084361557,0
4,35,0.09255241636544437,0
4,36,0.057440011908992894,0
4,37,0.0715675519912946,0
5,1,0.11453883101994866,0
5,2,0.10785057846987785,0
5,3,0.10168279563896172,0
5,4,0.10113595629229696,0
5,5,0.09418698619153117,0
5,6,0.10131605140335673,0
5,7,0.07718787561291676,0
5,8,0.06829060110573186,0
5,9,0.06043049496369892,0
5,10,0.07961806174038226,0
5,11,0.08255938996578172,0
5,12,0.10530340364505164,0
5,13,0.15671581357907843,0
5,14,0.16378820971316294,0
5,15,0.18227523545532534,0
5,16,0.19210246909347256,0
5,17,0.17260342529333744,0
5,18,0.13008348205014392,0
5,19,0.14227981243762794,0
5,20,0.11459108988639297,0
5,21,0.10827354780417602,0
5,22,0.09561857865526946,0
5,23,0.10040039168149613,0
5,24,0.08757512495897704,0
5,25,0.08747659706810992,0
5,26,0.12264627183930873,0
5,27,0.1412518548895244,0
5,28,0.14721781078410295,0
5,29,0.14834962296051513,0
5,30,0.14898047263438946,0
5,31,0.11369166296027138,0
5,32,0.10089637373488851,0
5,33,0.08009540130105873,0
5,34,0.07609837645563876,0
5,35,0.07398015088275094,0
5,36,0.056564387477773606,0
5,37,0.0388711167295061,0
6,1,0.09618877624361453,0
6,2,0.09036662964983806,0
6,3,0.09172590712809851,0
6,4,0.09823527531025736,0
6,5,0.09026104151510564,0
6,6,0.06866351084755676,0
6,7,0.07345557068272046,0
6,8,0.07401520456352231,0
6,9,0.09893104138340522,0
6,10,0.09878299576251157,0
6,11,0.1135513157313565,0
6,12,0.1131117384086873,0
6,13,0.1075249804834347,0
6,14,0.09011174212923898,0
6,15,0.09651712091545567,0
6,16,0.08170296054022294,0
6,17,0.09281532342030856,0
6,18,0.09740126400453127,0
6,19,0.09010924986119806,0
6,20,0.07963324374762876,0
6,21,0.09570391066140027,0
6,22,0.08983533184137416,0
6,23,0.08607574375284213,0
6,24,0.09065063932578198,0
6,25,0.11138291714377571,0
6,26,0.10580686549515075,0
6,27,0.09739092027332596,0
6,28,0.11005454596854299,0
6,29,0.1096562927202925,0
6,30,0.10243173270287467,0
6,31,0.0909436387101834,0
6,32,0.08872680983887962,0
6,33,0.07580067433083162,0
6,34,0.06842321643407914,0
6,35,0.059267447279865104,0
6,36,0.06417795574676476,0
6,37,0.0491101060083027,0
7,1,0.06528931789356676,1
7,2,0.06228004057402069,1
7,3,0.06329083266846655,1
7,4,0.07442185325175492,1
7,5,0.09511203612972383,1
7,6,0.09103190054011971,1
7,7,0.1041638398640404,1
7,8,0.09607655875377932,1
7,9,0.08415329653443313,1
7,10,0.06493927513384717,1
7,11,0.06628732183333007,1
7,12,0.053405388315848214,1
7,13,0.062284612817031605,1
7,14,0.05450155915976351,1
7,15,0.05370365596961182,1
7,16,0.05366221653339895,1
7,17,0.055578387904043736,1
7,18,0.0489404340828975,1
7,19,0.0558906036647938,1
8,1,0.0760948438093548,0
8,2,0.07474146532640297,0
8,3,0.07623125884365681,0
8,4,0.07921303401832559,0
8,5,0.08565263090456224,0
8,6,0.07717458099501852,0
8,7,0.07792110612188367,0
8,8,0.07738426474682103,0
8,9,0.07065303294464652,0
8,10,0.06951878675838093,0
8,11,0.07474960762081474,0
8,12,0.0797659555854048,0
8,13,0.07443502175752628,0
8,14,0.07538144794412903,0
8,15,0.06813467877515997,0
8,16,0.06482146755098922,0
8,17,0.06210482374877564,0
8,18,0.05445748467457774,0
8,19,0.054523013866671265,0
8,20,0.06308236872818637,0
8,21,0.06188696749538014,0
8,22,0.06285093234377281,0
8,23,0.06231284877231633,0
8,24,0.06130379034180459,0
8,25,0.055134156032429806,0
